repository	commit	branch	license	selected
authelia/authelia	ec9d69e3d09cad36db83917dae7010a0c91e4fd7	master	Apache-2.0	3
zitadel/zitadel	ca6595f8c59299d1aa971b06d098b839b4edd959	main	AGPL-3.0	1
home-assistant/core	0e8bf166b8f15281a2eafc00c189a365dd29b3ff	dev	Apache-2.0	3
zulip/zulip	24bc460b612e45bdffa1aee6195757940257064e	main	Apache-2.0	4
flyteorg/flyte	aa60b1b319f78d7e6307cd943532362fd0cf7fd8	main	Apache-2.0	4
labring/sealos	d9f185ebe35d251f3bbefb58f606e0c6255518a6	main	NOASSERTION	4
seaweedfs/seaweedfs	2e9b944e5c2ea137c726d4bb296a48651243daea	master	Apache-2.0	4
restic/restic	8baffc40273bb3aa4f6c7826d582ebe576f4c90c	master	BSD-2-Clause	1
rclone/rclone	a110fa5d47e3c47a13ca73b48666c48088d8263b	master	MIT	3
goreleaser/goreleaser	0cfdc86b5e839241aae46592c4b987f6d72fd67a	main	MIT	1
cilium/tetragon	b2ca57d16973432153874afbaf616af7fca72a34	main	Apache-2.0	4
kubeedge/kubeedge	555e57bb71fede21d3fc020e95f132132018986c	master	Apache-2.0	3
kubernetes-sigs/kustomize	f7d33c2610d868318bdd4442b32a8616e3b66eb8	master	Apache-2.0	1
external-secrets/external-secrets	ebea99d4f5d91ae4e15fff46834402ec2140eb83	main	Apache-2.0	1
argoproj-labs/argocd-notifications	4a1a2a3acded0245fb04f307becef2ced5c29324	master	Apache-2.0	1
backstage/backstage	10dbfd2ea8025e5969cfc6d22e9a26e7b4b13c50	master	Apache-2.0	4
chroma-core/chroma	4088bf614916e7027f891d4dd3c91b2a478eeef3	main	Apache-2.0	4
streamlit/streamlit	d1bcd4a8e3d392ddee52b3432b3fda182b255a23	develop	Apache-2.0	1
bentoml/BentoML	73c4dbead99be6515fa25fcd91e348ac30f5c22e	main	Apache-2.0	1
pytorch/pytorch	f7d820092c3e1c161bf4d7db15eaceb7534489a6	main	NOASSERTION	5
